"season","name","last_name","team","Plays","Drives","EPA","EPA_p","Exp","WR","OL","nHC","nTM","lagEPA"
2016,"A.Rodgers","Rodgers","GB",756,167,1.08259278625294,0.239144173682858,11,26.6837122431893,28.0246023056611,0,0,56.9958752289385
2016,"R.Fitzpatrick","Fitzpatrick","NYJ",480,132,0.0681033707719585,0.0187284269622886,11,17.6997488246281,17.6997488246281,0,0,88.4538726391447
2016,"M.Ryan","Ryan","ATL",641,169,1.10237224744405,0.290641044957947,8,28.8291363431442,28.0246023056611,0,0,75.4453191042123
2016,"J.Flacco","Flacco","BAL",765,185,-0.116540523314399,-0.0281830023701489,8,17.4315708121337,23.7337541057513,0,0,1.86816822069907
2016,"M.Stafford","Stafford","DET",710,157,0.75655537123182,0.167294638427318,7,23.0633090745154,23.4655760932569,0,0,38.1587870040522
2016,"S.Bradford","Bradford","MIN",638,157,0.182632015351896,0.0449423611445889,6,8.44760739357249,24.9405551619759,0,1,-6.94968088163874
2016,"C.Newton","Newton","CAR",674,173,-0.0669094414636614,-0.017174085123462,5,8.04534037483094,7.91125136858376,0,0,112.430315165189
2016,"A.Dalton","Dalton","CIN",681,169,0.481712090438206,0.119543822737235,5,6.43627229986475,26.8178012494365,0,0,125.449812497646
2016,"C.Kaepernick","Kaepernick","SF",455,126,0.0666293513307839,0.0184512049839094,5,15.9565917434147,8.44760739357249,1,0,-16.4147452875897
2016,"T.Taylor","Taylor","BUF",611,154,0.325544368246717,0.082052099361693,5,12.470277580988,19.845172924583,0,0,58.0104795266595
2016,"C.Keenum","Keenum","LA",385,103,-0.265183215733684,-0.0709451200534271,4,3.62040316867392,19.3088168995943,0,0,6.3401742821555
2016,"R.Wilson","Wilson","SEA",694,173,0.322879041965649,0.0804871387032524,4,8.04534037483094,33.2540735493012,0,0,148.417458418683
2016,"K.Cousins","Cousins","WAS",698,170,0.762751479376676,0.185770417613231,4,28.2927803181555,34.0586075867843,0,0,105.851881021658
2016,"A.Luck","Luck","IND",694,161,0.541064570489824,0.125520743298071,4,19.0406388870999,24.0019321182456,0,0,-11.8827807738297
